no	month	temperature	precipitation	station	country	latitude	NS	longitude	WE	altitude
4	2	11.2	78.6	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	3	13.2	70.9	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	4	15.3	53.4	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	5	18.6	36.2	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	6	22.3	10.5	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	7	25.2	2.4	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	8	26	10.8	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	9	23.5	38.8	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	10	20.2	64.7	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	11	15.6	96.8	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
4	12	12.3	101.9	アンナバ_アルジェリア	アルジェリア	36.83	N	7.82	E	3
5	1	10.6	1.8	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	2	13.2	1.2	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	3	18.1	4.5	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	4	23.7	3	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	5	28.7	2.1	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	6	32.4	0.8	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	7	33.2	0	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	8	32.8	0.3	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	9	30.5	1.3	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	10	24.5	4	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	11	17.2	0.6	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
5	12	11.9	1	イナメナス_アルジェリア	アルジェリア	28.05	N	9.63	E	561
6	1	13.1	2.2	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	2	15.6	0.9	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	3	20.3	2.7	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	4	25.9	1.7	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	5	30.9	1.5	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	6	34.2	2.3	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	7	34.9	0.1	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	8	34.3	0.4	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	9	32.1	1.7	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	10	26.6	2.3	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	11	19.3	0.6	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
6	12	14.1	1.4	イリジ_アルジェリア	アルジェリア	26.5	N	8.42	E	543
7	1	20.2	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	2	20.9	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	3	27	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	4	33.1	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	5	34.8	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	6	36.5	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	7	36.5	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	8	34.5	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	9	34.6	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	10	30.7	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	11	25.1	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
7	12	21.1	NA	インゲザム_アルジェリア	アルジェリア	19.57	N	5.77	E	400
8	1	14.2	3	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	2	17.1	0.9	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	3	21.7	0.9	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	4	26.5	1.1	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	5	31.6	0.5	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	6	36.2	0.2	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	7	38.5	0.1	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	8	37.6	0.6	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	9	34.4	1.3	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	10	28	1.1	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	11	20.2	1	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
8	12	15.5	0.5	インサラー_アルジェリア	アルジェリア	27.23	N	2.5	E	268
9	1	10.9	19.3	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	2	13	3.6	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	3	17.2	7	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	4	21.3	8.9	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	5	26.4	1.7	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	6	31.3	0.7	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	7	34.4	0.3	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	8	33.8	1	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	9	29.2	6.8	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	10	23.5	6.1	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	11	16.4	6.1	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
9	12	11.8	5.8	ウェド_アルジェリア	アルジェリア	33.5	N	6.78	E	64
10	1	6.3	40	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	2	6.9	28.8	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	3	10	36	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	4	13.3	36.7	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	5	18.2	49.2	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	6	23.2	20.9	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	7	26.6	9.3	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	8	26.2	26.4	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	9	21.6	41.7	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	10	17	30.8	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	11	11	35.2	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
10	12	7.1	36.5	ウームエルブワギー_アルジェリア	アルジェリア	35.87	N	7.12	E	889
11	1	13.7	35.5	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	2	13.9	27.7	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	3	15.5	23.2	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	4	16.9	27.5	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	5	19.3	16.3	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	6	22.2	0.9	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	7	24.8	0.6	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	8	25.8	1.9	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	9	23.6	20.3	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	10	20.8	29.2	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	11	17.2	53.6	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
11	12	14.4	38.6	オラン港_アルジェリア	アルジェリア	35.7	N	0.65	W	NA
12	1	12.1	111.6	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	2	12.1	94.8	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	3	14.3	56.9	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	4	15.8	71.4	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	5	18.8	39.4	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	6	22.6	11.3	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	7	25.6	2.4	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	8	26.8	10.9	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	9	24.2	63.3	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	10	21.1	90	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	11	16.7	127.1	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
12	12	13.6	143	カラ_アルジェリア	アルジェリア	36.9	N	8.45	E	11
13	1	11.1	7.5	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	2	13	3.1	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	3	16.9	8.9	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	4	21	5.8	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	5	26.2	2.7	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	6	31.2	2	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	7	35	1	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	8	33.9	3	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	9	28.9	11.6	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	10	23	5.8	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	11	16.2	6.5	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
13	12	12	4.5	ガルダイア_アルジェリア	アルジェリア	32.4	N	3.8	E	468
14	1	7.4	19	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	2	8.6	18.5	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	3	12	22.5	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	4	15.1	27.3	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	5	20	26.5	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	6	25.4	14.7	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	7	29.6	6.5	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	8	28.8	9.7	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	9	23.1	32.9	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	10	18.2	26.5	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	11	11.7	24.6	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
14	12	8	20	クサル_アルジェリア	アルジェリア	35.17	N	2.32	E	800
15	1	6.3	39.9	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	2	6.8	33.5	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	3	10.7	46.9	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	4	14	42.4	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	5	18	61.9	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	6	23.4	26.4	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	7	27.3	27.3	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	8	26.2	36.9	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	9	21.3	52.9	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	10	17.1	41.6	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	11	11	32.8	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
15	12	7.4	37.8	ケンシェラ_アルジェリア	アルジェリア	35.47	N	7.08	E	983
16	1	9.8	85.7	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	2	10.1	68.2	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	3	12.4	70.9	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	4	15.1	57.3	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	5	19.4	47.1	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	6	24.3	15.6	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	7	27.1	3.1	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	8	27.5	18.8	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	9	23.8	47.6	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	10	19.7	53.9	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	11	14.5	67.6	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
16	12	11	76.8	ゲルマ_アルジェリア	アルジェリア	36.47	N	7.47	E	227
17	1	6.8	65.3	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	2	7.4	55.9	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	3	10.2	55.1	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	4	13	51.5	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	5	17.6	39.5	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	6	22.7	14.1	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	7	26.3	3.4	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	8	26.1	12.1	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	9	21.5	35.2	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	10	17.2	39.7	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	11	11.5	53.1	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
17	12	7.9	66.2	コンスタンティーヌ_アルジェリア	アルジェリア	36.28	N	6.62	E	693
18	1	10.1	8.2	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	2	12.7	1.7	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	3	17.4	6.4	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	4	22.1	1.4	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	5	27.3	3.5	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	6	32.3	0.4	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	7	35.3	0.1	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	8	34.5	0.3	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	9	30.1	4.4	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	10	23.6	4	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	11	15.7	3.8	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
18	12	11.1	2.5	ゴレア_アルジェリア	アルジェリア	30.57	N	2.87	E	397
19	1	8.2	99.2	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	2	9	36.9	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	3	11.8	40.1	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	4	14.2	41	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	5	18.6	33.2	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	6	23.6	13.3	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	7	27.6	5.3	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	8	27.4	9.4	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	9	22.4	26.9	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	10	18.1	46	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	11	12.4	51.5	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
19	12	9.2	33.8	サイダ_アルジェリア	アルジェリア	34.87	N	0.15	E	750
20	1	10.7	57.1	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	2	11.5	50.3	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	3	14.3	37.1	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	4	16.7	50	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	5	21.3	29.3	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	6	26.2	7.1	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	7	30	1.7	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	8	29.9	4.2	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	9	25.5	18.3	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	10	21	32	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	11	15.1	59.3	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
20	12	11.8	44.2	シェリフ_アルジェリア	アルジェリア	36.22	N	1.33	E	143
21	1	8.6	57	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	2	9.6	35.6	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	3	12.2	32.3	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	4	14.5	34.5	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	5	18.6	22.9	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	6	23.4	6.5	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	7	26.8	1.3	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	8	26.8	3.2	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	9	22.4	19.7	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	10	18.3	34.4	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	11	13	56.5	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
21	12	9.5	44.2	シディベルアッベス_アルジェリア	アルジェリア	35.2	N	0.62	W	475
22	1	11.7	138.4	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	2	11.7	123.3	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	3	13.8	92.9	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	4	15.6	76.2	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	5	18.9	53	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	6	22.7	13.4	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	7	25.6	2.6	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	8	26.3	15.9	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	9	23.8	57.2	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	10	20.5	110.2	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	11	15.9	148.7	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
22	12	12.8	173.1	ジジェル/ACHOUAT_アルジェリア	アルジェリア	36.8	N	5.88	E	8
23	1	12.5	167.3	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	2	12.6	122.5	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	3	14.5	90.7	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	4	16.5	71.7	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	5	19.4	54.9	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	6	23.4	13.5	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	7	26	2.3	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	8	26.8	15.4	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	9	24.2	66	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	10	21.1	117.8	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	11	16.9	144.1	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
23	12	13.9	173.7	ジジェル港_アルジェリア	アルジェリア	36.82	N	5.88	E	2
24	1	11.8	0.6	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	2	15.3	1.1	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	3	20.1	1	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	4	25.9	0.4	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	5	30	1	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	6	32.2	3.3	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	7	32.2	0.7	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	8	31.8	0.8	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	9	30	2.4	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	10	25	1.7	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	11	18.6	0	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
24	12	13.7	0	ジャネ_アルジェリア	アルジェリア	24.27	N	9.47	E	968
25	1	12.5	117.1	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	2	12.5	84.8	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	3	14.5	76.9	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	4	16.5	56.3	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	5	19.3	36.6	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	6	22.7	11.2	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	7	25.5	1	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	8	26.5	11.5	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	9	24	51.2	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	10	21	80	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	11	17	101.3	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
25	12	14	116.4	スキクダ_アルジェリア	アルジェリア	36.88	N	6.9	E	2
26	1	5.2	44	セティフ_アルジェリア	アルジェリア	36.18	N	5.25	E	1033
